NU_ANO_CENSO|CO_IES|NO_IES|SG_IES|CO_MANTENEDORA|NO_MANTENEDORA|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_REGIAO|CO_UF|CO_MUNICIPIO|IN_CAPITAL|QT_TEC_TOTAL|QT_TEC_FUNDAMENTAL_INCOMP_FEM|QT_TEC_FUNDAMENTAL_INCOMP_MASC|QT_TEC_FUNDAMENTAL_COMP_FEM|QT_TEC_FUNDAMENTAL_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_ASSINA_OUTRA_BASE|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|TP_REFERENTE|VL_RECEITA_PROPRIA|VL_RECEITA_TRANSFERENCIA|VL_RECEITA_OUTRA|VL_DESPESA_PESSOAL_DOCENTE|VL_DESPESA_PESSOAL_TECNICO|VL_DESPESA_PESSOAL_ENCARGO|VL_DESPESA_CUSTEIO|VL_DESPESA_INVESTIMENTO|VL_DESPESA_PESQUISA|VL_DESPESA_OUTRA
2019|19|PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS|PUC-CAMPINAS|19|SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO|5|1|3|35|3509502|0|786|11|7|16|14|188|149|196|125|38|20|6|11|3|2|1||1|0|1|1|1|1|5325|2520|2|302672689.42|5600493.65|56104124.02|94571612.58|50702652.07|65153639.83|56078866.55|25510000.00|9919130.66|8224226.54
2019|20|UNIVERSIDADE DE PASSO FUNDO|UPF|20|FUNDACAO UNIVERSIDADE DE PASSO FUNDO|5|1|4|43|4314100|0|950|24|19|48|21|218|198|152|101|96|34|23|10|1|5|1||1|1|0|1|1|1|60|201570|1|290319968.74|1900218.71|22579106.91|148842717.26|53465483.62|14209362.64|102567282.16|6077092.99|3587287.34|19933426.34
2019|21|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL|PUCRS|21|UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA|5|1|4|43|4314902|1|1822|44|29|73|52|344|578|256|212|93|60|25|23|19|14|1||1|1|1|1|1|1|29|568234|2|613746222|0.00|88647674.00|122683734.00|87602977.00|113001397.00|167115574.00|24764532.00|24900847.00|133376746.00
2019|19229|FACULDADE PRESBITERIANA MACKENZIE BRASILIA|FPMB|22|INSTITUTO PRESBITERIANO MACKENZIE|5|3|5|53|5300108|1|7|0|0|0|0|0|0|5|0|0|1|0|1|0|0|1||1|1|1|1|1|1|51737|17793|2|857170.81|0.00|337.00|631129.99|591270.29|472669.14|0.00|336712.12|497261.48|3157246.67
2019|353|FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ|FEMPAR|22|INSTITUTO PRESBITERIANO MACKENZIE|5|3|4|41|4106902|1|64|1|2|3|1|10|11|15|5|5|1|5|2|1|2|1||1|1|0|1|1|1|50000|18000|2|40489041.3|0.00|1796079.00|8373711.39|3078166.05|1352526.16|13154404.00|2318750.47|0.00|0.00
2019|22|UNIVERSIDADE PRESBITERIANA MACKENZIE|MACKENZIE|22|INSTITUTO PRESBITERIANO MACKENZIE|5|1|3|35|3550308|1|2129|14|44|24|60|461|563|364|236|177|90|31|55|5|5|1||1|1|0|1|1|1|51737|17793|1|663105246.61|0.00|78367738.57|131193055.60|106761962.71|113083327.62|0.00|46889524.63|133533289.90|239468700.70
2019|195|FACULDADE PRESBITERIANA MACKENZIE RIO||22|INSTITUTO PRESBITERIANO MACKENZIE|5|3|3|33|3304557|1|52|0|0|1|1|9|20|9|4|5|2|0|1|0|0|1||1|0|1|1|1|1|51737|17793|2|18698072.1|0.00|158808.00|5243087.91|2144421.45|1731018.67|0.00|725336.47|0.00|5900440.40
2019|23|UNIVERSIDADE FEEVALE|FEEVALE|23|ASSOCIACAO PRO ENSINO SUPERIOR EM NOVO HAMBURGO|5|1|4|43|4313409|0|498|0|0|0|0|137|77|121|56|55|22|21|5|3|1|1||1|1|1|1|1|1|8003|213442|2|241532175.33|3701561.41|37232233.07|51057513.14|32486731.69|31617509.32|67765696.96|12998196.40|9714866.09|73212964.93
2019|24|UNIVERSIDADE ESTADUAL DE SANTA CRUZ|UESC|24|UNIVERSIDADE ESTADUAL DE SANTA CRUZ|2|1|2|29|2913606|0|379|0|13|0|5|36|55|97|55|63|30|13|10|2|0|1||0|0|1|1|1|1|11|0|2|3097039.3|6586961.92|216911517.72|133087503.44|14341015.14|28313146.52|31305565.83|2462121.11|9565958.46|0.00
2019|26|ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS|ENCE|26|FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE|1|3|3|33|3304557|1|74|0|0|0|0|11|14|6|7|10|5|4|7|6|4|1||0|1|1|1|0|1|4|0|1|6155695.76|2972774911.54|1448748.56|1.00|710701682.82|183094392.52|358289216.02|180794951.23|0.00|0.00
2019|27|UNIVERSIDADE VALE DO RIO VERDE|UNINCOR|27|FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO|5|1|3|31|3169307|0|262|4|10|3|3|36|29|59|26|27|23|17|17|6|2|1||0|1|0|1|1|1|150000|16782|1|54181168.22|0.00|2707320.07|14637820.47|10985360.70|2100722.71|25054521.33|611237.98|20500.00|6859151.51
2019|29|UNIVERSIDADE ESTADUAL DO CEARÁ|UECE|29|FUNDACAO UNIVERSIDADE ESTADUAL DO CEARA FUNECE|2|1|2|23|2304400|1|442|24|57|26|27|123|93|44|39|3|3|2|1|0|0|1||0|1|1|1|1|1|0|90|2|8987340.19|277632484.44|0.00|135027057.30|40269438.14|61588552.45|46830554.39|1525478.82|3543731.27|296886.28
2019|30|UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO|UNIFENAS|30|FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS|5|1|3|31|3101607|0|752|38|106|26|52|134|134|74|57|51|36|18|18|5|3|1||1|1|1|1|0|1|32|9782|1|234352710.09|480381.84|64618750.61|46965853.96|48382154.92|62485639.07|68050918.32|8663903.03|452600.00|45866153.10
2019|32|UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL|UNCISAL|32|UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS - UNCISAL|2|1|2|27|2704302|1|730|0|0|16|27|119|78|290|200|0|0|0|0|0|0|1||0|0|1|1|1|1|0|0|1|1328430|239130491.06|710837.47|1239813.86|941396.50|268490.08|75778366.50|4264517.79|0.00|148817038.67
2019|18817|Faculdade de Tecnologia de São Roque|FATEC-SR|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3550605|0|6|0|0|0|0|1|0|0|1|1|1|0|2|0|0|0||0|0|1|1|1|1|0|8000|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|4024|FACULDADE DE TECNOLOGIA DE MOCOCA|FATEC|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3530508|0|12|0|0|0|0|0|0|2|6|2|0|0|2|0|0|0||1|0|1|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|18049|Faculdade de Tecnologia de Taubaté|FATEC TAUBATÉ|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3554102|0|9|0|0|0|0|0|0|3|3|2|1|0|0|0|0|0||0|0|1|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|19501|Faculdade de Tecnologia Sebrae|FATEC SEBRAE|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3550308|1|4|0|0|0|0|0|0|1|0|1|1|0|0|0|1|0||1|0|0|1|0|1|7559|8315|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|19864|Faculdade de Tecnologia de Itapira|FATEC Itapira|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3522604|0|10|0|0|0|0|0|1|3|1|1|2|1|1|0|0|0||0|0|1|0|0|0|0|6500|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|24672|FACULDADE DE TECNOLOGIA DE MATÃO||33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3529302|0|2|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0||0|0|0|0|0|0|0|10|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|23438|Faculdade de Tecnologia de Araras||33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3503307|0|4|0|0|0|0|0|0|1|0|2|0|0|1|0|0|0||0|0|0|0|1|0|0|8000|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|967|FACULDADE DE TECNOLOGIA DE TAQUARITINGA|FATEC/TQ|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3553708|0|18|0|0|0|0|1|2|5|6|2|1|0|1|0|0|0||0|1|1|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15581|Faculdade de Tecnologia de São José dos Campos - Jessen Vidal|FATECSJCAMPOS|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3549904|0|12|0|0|0|0|2|2|2|4|1|1|0|0|0|0|0||0|0|0|1|1|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15695|Faculdade de Tecnologia Dom Amaury Castanho|Fatec Itu|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3523909|0|27|0|1|1|0|5|6|5|4|0|2|2|0|1|0|0||0|0|1|1|1|1|320|320|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|37|FACULDADE DE TECNOLOGIA DE JAHU|FATEC-JAHU|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3525300|0|31|0|0|0|0|2|4|10|5|4|4|1|1|0|0|0||0|0|1|0|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15585|Faculdade de Tecnologia Santo André|FATEC-SA|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3547809|0|11|0|0|0|0|2|1|0|6|2|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|19578|Faculdade de Tecnologia de Cotia|FATEC COTIA|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3513009|0|6|0|0|0|0|1|1|1|2|0|0|0|0|0|1|0||0|0|1|0|0|0|0|10|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15714|Fatec Arthur Azevedo - Mogi Mirim|FATECMM|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3530805|0|30|4|0|0|1|7|3|5|6|1|2|0|0|0|1|0||0|1|0|0|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|4023|FACULDADE DE TECNOLOGIA DE MAUÁ|FATEC MAUÁ|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3529401|0|13|0|0|0|0|1|2|1|5|1|2|0|1|0|0|1||0|0|1|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|5627|FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE|FATEC|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3541406|0|13|0|0|0|0|3|1|0|4|1|2|1|0|1|0|0||0|0|1|1|1|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15715|FACULDADE DE TECNOLOGIA PROFESSOR ANTÔNIO SEABRA|FATEC LINS|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3527108|0|12|0|0|0|0|0|3|2|2|3|1|0|0|0|1|1||0|0|0|1|1|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15682|Faculdade de Tecnologia de Piracicaba|Fatec Piracicaba|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3538709|0|10|0|0|0|0|1|2|1|3|1|1|1|0|0|0|0||0|0|1|1|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15746|Faculdade de Tecnologia do Ipiranga|FATECIPI|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3550308|1|15|0|0|0|0|2|1|4|6|0|0|1|1|0|0|0||0|0|0|0|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15696|Faculdade de Tecnologia de Sertãozinho|FATEC SERTÃOZINHO|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3551702|0|15|0|0|0|0|2|1|7|3|1|0|1|0|0|0|0||0|0|1|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|33|FACULDADE DE TECNOLOGIA DE SOROCABA|FATEC SO|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3552205|0|74|2|1|2|1|19|10|16|15|3|2|0|3|0|0|0||0|0|0|1|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15709|Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar|Fatec Osasco|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3534401|0|74|0|0|0|0|7|3|6|21|2|22|0|0|1|12|0||0|0|1|1|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15753|FACULDADE DE TECNOLOGIA NILO DE STÉFANI - JABOTICABAL|FATEC JBL|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3524303|0|11|0|0|0|0|0|0|3|5|3|0|0|0|0|0|0||0|0|1|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|23459|Faculdade de Tecnologia de Adamantina||33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3500105|0|2|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0||0|0|0|0|0|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15803|FACULDADE DE TECNOLOGIA DE TATUÍ - PROF. WILSON ROBERTO RIBEIRO DE CAMARGO|FATEC TATUÍ|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3554003|0|20|0|0|1|0|1|0|2|4|6|3|0|1|0|2|0||0|0|0|1|0|0|0|6500|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15757|Faculdade de Tecnologia de Barueri|Fatec Barueri|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3505708|0|14|0|0|0|0|2|4|3|3|1|1|0|0|0|0|0||0|0|0|1|1|1|0|0|1|0|629874491.31|0.00|371346187.15|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|4025|FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO|FATECRP|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3549805|0|9|0|0|0|0|0|0|2|3|3|1|0|0|0|0|0||0|0|1|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15639|Faculdade de Tecnologia de Itaquaquecetuba|Fatec Itaqua|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3523107|0|14|0|0|0|0|3|0|4|4|0|3|0|0|0|0|1||0|1|1|1|1|1|1|8000|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|4021|FACULDADE DE TECNOLOGIA DE GARÇA|FATECGA|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3516705|0|17|0|0|0|0|1|1|6|4|0|3|0|1|1|0|0||0|0|1|0|1|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|17942|Faculdade de Tecnologia do Tatuapé|FATEC-TT|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3550308|1|13|0|0|0|0|0|1|6|3|1|2|0|0|0|0|0||0|0|0|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|19739|Faculdade de Tecnologia de Campinas|FATEC CAMPINAS|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3509502|0|10|0|0|0|0|0|1|4|3|1|1|0|0|0|0|0||0|0|1|1|1|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15687|Faculdade de Tecnologia de Pindamonhangaba|FATEC PI|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3538006|0|13|0|0|0|0|0|0|3|5|3|1|0|1|0|0|0||0|0|0|1|0|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15784|Faculdade de Tecnologia Estudante Rafael Almeida Camarinha - Marilia|Fatec Marilia|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3529005|0|15|0|0|0|0|0|0|5|2|0|5|1|1|1|0|0||0|0|1|1|1|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15693|Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende|Fatec - Itapetininga|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3522307|0|13|0|0|0|0|1|1|1|5|3|2|0|0|0|0|0||0|0|0|1|1|0|0|0|1|0|629874491.31|0.00|371346187.75|44344294.36|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|23705|FACULDADE DE TECNOLOGIA DE FRANCO DA ROCHA||33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3516408|0|4|0|0|0|0|0|0|3|1|0|0|0|0|0|0|0||0|0|0|0|0|0|0|8000|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|19500|Faculdade de Tecnologia de São Carlos|FATEC São Carlo|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3548906|0|6|0|0|0|0|0|0|2|3|1|0|0|0|0|0|0||1|0|0|1|1|1|0|6500|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|16410|Faculdade de Tecnologia de Catanduva|FATEC Catanduva|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3511102|0|11|0|0|0|0|1|1|1|4|3|1|0|0|0|0|0||0|1|0|1|1|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|15576|Faculdade de Tecnologia de Mogi das Cruzes|FATEC-MC|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3530607|0|9|0|0|0|0|0|0|2|4|2|1|0|0|0|0|0||0|0|0|1|1|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
2019|36|FACULDADE DE TECNOLOGIA RUBENS LARA|FATEC-BS|33|CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA|2|3|3|35|3548500|0|23|0|0|0|3|3|2|6|6|1|2|0|0|0|0|0||1|0|1|1|1|1|0|0|1|0|629874491.31|0.00|371346187.75|44344294.37|139489504.15|57049463.96|17645041.08|0.00|0.00
